provincia,localidad,precio_medio,precio_m2_medio
Ciudad Autonoma de Buenos Aires,"Palermo, Capital Federal",694.4403755868544,11.80504656855467
Ciudad Autonoma de Buenos Aires,"Parque Avellaneda, Capital Federal",360.0,8.251179450337935
Ciudad Autonoma de Buenos Aires,"Parque Centenario, Capital Federal",531.1111111111111,9.099639305526187
Ciudad Autonoma de Buenos Aires,"Parque Chacabuco, Capital Federal",413.0,8.000576011410319
Ciudad Autonoma de Buenos Aires,"Parque Chas, Capital Federal",415.2272727272728,9.4093316086082
Ciudad Autonoma de Buenos Aires,"Parque Patricios, Capital Federal",359.1304347826087,8.01229808312909
Ciudad Autonoma de Buenos Aires,"Parque Rivadavia, Caballito",454.84375,7.886397495093249
Ciudad Autonoma de Buenos Aires,"Pompeya, Capital Federal",300.0,9.873015873015872
Ciudad Autonoma de Buenos Aires,"Primera Junta, Caballito",478.8333333333333,8.0367068744579
Ciudad Autonoma de Buenos Aires,"Puerto Madero, Capital Federal",2731.266875981162,24.24658236619558
Ciudad Autonoma de Buenos Aires,"Puerto Retiro, Retiro",830.0,11.0192691080849
Ciudad Autonoma de Buenos Aires,"Recoleta, Capital Federal",914.043439716312,11.124143616052812
Ciudad Autonoma de Buenos Aires,"Retiro, Capital Federal",1123.515625,11.082600712672976
Ciudad Autonoma de Buenos Aires,"Saavedra, Capital Federal",451.0,9.519970140840908
Ciudad Autonoma de Buenos Aires,"San Cristobal, Capital Federal",334.92753623188406,8.28155577827872
Ciudad Autonoma de Buenos Aires,"San Nicolás, Capital Federal",389.1463414634146,8.739147271491698
Ciudad Autonoma de Buenos Aires,"San Telmo, Capital Federal",497.8741721854304,9.986200692199612
Ciudad Autonoma de Buenos Aires,"Tribunales, Capital Federal",403.8888888888889,8.129415232144254
Ciudad Autonoma de Buenos Aires,"Velez Sarsfield, Capital Federal",405.0,7.886206583015094
Ciudad Autonoma de Buenos Aires,"Versalles, Capital Federal",365.7142857142857,7.0195839874411305
Ciudad Autonoma de Buenos Aires,"Villa Crespo, Capital Federal",463.4909638554217,9.729160063068866
Ciudad Autonoma de Buenos Aires,"Villa Devoto, Capital Federal",541.1734693877551,8.28175776931389
Ciudad Autonoma de Buenos Aires,"Villa General Mitre, Capital Federal",354.61538461538464,8.610955021629836
Ciudad Autonoma de Buenos Aires,"Villa Lugano, Capital Federal",315.7142857142857,6.838415495657844
Ciudad Autonoma de Buenos Aires,"Villa Luro, Capital Federal",391.4634146341463,7.900150156041757
Ciudad Autonoma de Buenos Aires,"Villa Ortuzar, Capital Federal",373.9705882352941,8.693146030018687
Ciudad Autonoma de Buenos Aires,"Villa Pueyrredón, Capital Federal",400.38461538461536,8.265948767879355
Ciudad Autonoma de Buenos Aires,"Villa Real, Capital Federal",350.0,7.275862068965518
Ciudad Autonoma de Buenos Aires,"Villa Santa Rita, Capital Federal",355.0,7.859106395912204
Ciudad Autonoma de Buenos Aires,"Villa Urquiza, Capital Federal",442.7142857142857,9.553670955966894
Ciudad Autonoma de Buenos Aires,"Villa del Parque, Capital Federal",414.0,7.807425407289297
Cordoba,"Alberdi, Córdoba",244.8918918918919,4.579124707377842
Cordoba,"Alta Córdoba, Córdoba",316.05405405405406,4.403598731980047
Cordoba,"Alto Alberdi, Córdoba",280.13513513513516,5.421492999538
Cordoba,"Argüello, Córdoba",589.5,3.3383989263207035
Cordoba,"Centro, Córdoba",287.0612244897959,3.9149913870256006
Cordoba,"Centro, Villa Carlos Paz",345.0,2.993055555555556
Cordoba,"Cerro de las Rosas, Córdoba",673.0625,4.711752499718783
Cordoba,"Cofico, Córdoba",281.5853658536585,5.289019662179579
Cordoba,"Córdoba, Córdoba",611.4428571428572,3.6927493173354766
Cordoba,"General Bustos, Córdoba",285.0,3.4369964349376114
Cordoba,"General Paz, Córdoba",325.5670103092784,5.808363256969327
Cordoba,"General Pueyrredón, Córdoba",225.625,4.2538840097433726
Cordoba,"Güemes, Córdoba",268.1578947368421,5.277304721666431
Cordoba,"Jardín, Córdoba",767.2727272727273,4.902268021972259
Cordoba,"Las Rosas, Córdoba",417.0,5.4484092535816675
Cordoba,"Los Boulevares, Córdoba",7717.857142857143,1.3143697928609648
Cordoba,"Manantiales, Córdoba",702.7272727272727,4.063539238539239
Cordoba,"Nueva Córdoba, Córdoba",322.3131313131313,5.995289369041959
Cordoba,"Observatorio, Córdoba",254.16666666666666,3.909971768427651
Cordoba,"Providencia, Córdoba",270.29411764705884,4.73637706287278
Cordoba,"Quebrada de las Rosas, Córdoba",513.0,4.457922395065252
Cordoba,"San Martín, Córdoba",229.0909090909091,3.16354297876037
Cordoba,"San Vicente, Córdoba",318.8888888888889,3.3850981620718463
Cordoba,"URCA, Córdoba",880.0,2.9354387487956752
Cordoba,"Valle Escondido, Córdoba",1609.090909090909,3.686350903997963
Cordoba,"Villa Belgrano, Córdoba",1138.888888888889,4.1060834664506585
Cordoba,"Villa Cabrera, Córdoba",349.5,4.214835164835165
Mendoza,"Ciudad de Mendoza, Mendoza",453.6588235294118,4.786609352474325
Mendoza,"Cuarta Sección, Ciudad de Mendoza",298.25,3.5387878787878786
Mendoza,"Godoy Cruz, Mendoza",425.6875,4.645453091583486
Mendoza,"Guaymallén, Mendoza",448.6363636363636,3.3713429609477044
Mendoza,"Las Heras, Mendoza",303.6,3.381928525557143
Mendoza,"Luján de Cuyo, Mendoza",860.0,1.8517849520069274
Mendoza,"Quinta Sección, Ciudad de Mendoza",603.6111111111111,4.527730174889723
Mendoza,"San José, Mendoza",376.27272727272725,3.911996548397228
Mendoza,"Sexta Sección, Ciudad de Mendoza",413.3333333333333,4.402157102157101
Rio Negro,"San Carlos de Bariloche, Rio Negro",1100.0,6.399345335515548
Santa Fe,"Abasto, Rosario",210.07692307692307,4.365199185470131
Santa Fe,"Alberdi, Rosario",381.7857142857143,3.8473858791348765
Santa Fe,"Alvear, Santa Fe",1940.5,2.5166481876332623
Santa Fe,"Arroyito, Rosario",184.28571428571428,3.9065018230834556
Santa Fe,"Ciudad de Santa Fe, Santa Fe",451.7837837837838,3.8250332767499584
Santa Fe,"Distrito Centro, Rosario",237.88449848024317,4.480050443943401
Santa Fe,"Echesortu, Rosario",204.2674418604651,4.564394489743116
Santa Fe,"Fisherton, Rosario",895.1739130434783,2.5529267414658903
Santa Fe,"Funes, Santa Fe",839.8125,2.3329483650084417
Santa Fe,"Granadero Baigorria, Santa Fe",478.125,2.307213763248246
Santa Fe,"Luis Agote, Distrito Centro",176.70967741935485,4.5262286992392555
Santa Fe,"Martin, Rosario",220.72222222222223,4.592528478899162
Santa Fe,"Nuestra Señora de Lourdes, Distrito Centro",243.61111111111111,5.174786007508638
Santa Fe,"Pichincha, Rosario",202.78846153846155,4.994914055070473
Santa Fe,"Puerto Norte, Rosario",462.5,6.404613543452843
Santa Fe,"Rafaela, Santa Fe",525.5555555555555,3.1903203069250203
Santa Fe,"República de la Sexta, Rosario",175.95,4.345784673487108
Santa Fe,"Roldán, Santa Fe",1540.0,0.8666129427721335
Santa Fe,"Rosario, Santa Fe",206.66666666666666,4.192801547122248
